part_number,group,description,spec,M240i_F22,M140i_F20N,340i_F30N
32 10 6 872 372,steering,"AT-steering box, electr.",• L SPORT/TKP Delivery discontinued by the factory,Y,Y,
32 10 6 872 403,steering,"AT-steering box, electr.",R • SPORT/TKP Delivery discontinued by the factory,Y,,
32 10 6 874 674,steering,"Steering gear, electric",• L SPORT/TKP Delivery discontinued by the factory,Y,,
32 10 6 874 676,steering,"AT-steering box, electr.",• L SPORT/TKP Delivery discontinued by the factory,Y,Y,
32 10 6 874 682,steering,"AT-steering box, electr.",R • SPORT/TKP Delivery discontinued by the factory,Y,Y,
32 10 6 874 850,steering,"Steering gear, electric",• L,,,Y
32 10 6 874 852,steering,"AT-steering box, electr.",• L ZF,,,Y
32 10 6 874 856,steering,"AT-steering box, electr.",R • ZF,,,Y
32 10 6 875 231,steering,"AT-steering box, electr.",• L SPORT/TKP,Y,Y,Y
32 10 6 875 233,steering,"AT-steering box, electr.",R • SPORT/TKP,Y,Y,Y
32 10 6 877 774,steering,"AT-steering box, electr.",• L SPORT/TKP,Y,Y,Y
32 10 6 877 776,steering,"AT-steering box, electr.",R • SPORT/TKP,Y,Y,Y
32 10 6 881 264,steering,"Steering gear, electric",• L SPORT/TKP,Y,,Y
32 13 6 756 011,steering,Hose clamp,"D= 19,4 - 22,5",Y,Y,Y
32 30 6 769 431,steering,Saucer-head screw,4X14MM,,Y,Y
32 30 6 778 609,steering,Torx bolt,M8X33,Y,Y,Y
32 30 6 791 292,steering,Steering shaft sleeve,• L,,Y,
32 30 6 791 293,steering,Steering shaft sleeve,R •,,Y,
32 30 6 791 295,steering,Lower joint assy,• L,Y,Y,Y
32 30 6 791 297,steering,Lower joint assy,R •,Y,Y,Y
32 30 6 791 330,steering,"Airbag module, driver's side",,,,Y
32 30 6 791 332,steering,"Airbag module, driver's side",,,,Y
32 30 6 795 924,steering,Hex bolt,"M14X1,5",Y,Y,Y
32 30 6 852 325,steering,Manually adjust. steering column,R •,,Y,
32 30 6 854 045,steering,Manually adjust. steering column,,,Y,
32 30 6 854 047,steering,Manually adjust. steering column,Delivery discontinued by the factory,,Y,
32 30 6 854 282,steering,Adjust-lever,,Y,Y,Y
32 30 6 854 753,steering,Leather steering wheel,,,Y,Y
32 30 6 854 755,steering,"Sport steering wheel, leather",SCHWARZ Delivery discontinued by the factory,,,Y
32 30 6 854 757,steering,"Sport steering wheel, leather",SCHWARZ Delivery discontinued by the factory,,,Y
32 30 6 854 768,steering,"Connecting line, steering wheel",,,Y,Y
32 30 6 854 769,steering,"Connecting line, steering wheel",,,,Y
32 30 6 854 770,steering,"Connecting line, steering wheel",,,Y,Y
32 30 6 854 771,steering,"Connecting line, steering wheel",,,,Y
32 30 6 854 772,steering,"Cover, steering wheel black",,,Y,Y
32 30 6 854 775,steering,Set of decor finishers,BASIS,,Y,Y
32 30 6 854 776,steering,"Cover, steer.wheel black/chrome pearlglos",,,,Y
32 30 6 854 777,steering,Set of decor finishers,SPORT,,,Y
32 30 6 854 964,steering,Manually adjust. steering column,• L,Y,Y,Y
32 30 6 854 965,steering,Manually adjust. steering column,R •,Y,Y,Y
32 30 6 856 230,steering,Mounting parts set,MFL,,Y,Y
32 30 6 857 306,steering,"Airbag module, driver's side",,,,Y
32 30 6 857 858,steering,Lower joint assy,• L Delivery discontinued by the factory,,Y,
32 30 6 858 470,steering,Steering shaft sleeve,• L,Y,Y,Y
32 30 6 858 471,steering,Steering shaft sleeve,R •,Y,Y,Y
32 30 6 858 559,steering,Manually adjust. steering column,,Y,Y,Y
32 30 6 858 560,steering,Manually adjust. steering column,Delivery discontinued by the factory,,Y,
32 30 6 858 561,steering,Manually adjust. steering column,R • Delivery discontinued by the factory,,Y,
32 30 6 861 999,steering,Hex bolt,M12,,,Y
32 30 6 863 342,steering,"Sport steering wheel, leather",SCHWARZ,,,Y
32 30 6 863 343,steering,"Sprt st. wheel, leather, shift paddles",SCHWARZ,,,Y
32 30 6 863 344,steering,"Sport steering wheel, leather",SCHWARZ,,,Y
32 30 6 863 345,steering,"Sprt st. wheel, leather, shift paddles",SCHWARZ,,,Y
32 30 6 863 346,steering,"Sport steering wheel, leather",SPORT LINE,,,Y
32 30 6 863 347,steering,"Sprt st. wheel, leather, shift paddles",SPORT LINE,,,Y
32 30 6 863 348,steering,"Sport steering wheel, leather",SPORT LINE,,,Y
32 30 6 863 349,steering,"Sprt st. wheel, leather, shift paddles",SPORT LINE,,,Y
32 30 6 878 249,steering,Leather steering wheel,,,Y,Y
32 30 6 878 250,steering,"Sport steering wheel, leather",SCHWARZ,,,Y
32 30 6 878 251,steering,"Sprt st. wheel, leather, shift paddles",SCHWARZ,,,Y
32 30 6 878 252,steering,"Sport steering wheel, leather",SPORT LINE,,,Y
32 30 6 878 253,steering,"Sprt st. wheel, leather, shift paddles",SPORT LINE,,,Y
32 30 7 845 797,steering,"Airbag module, driver's side",,Y,Y,Y
32 30 7 846 032,steering,"Decor trim cover, steering wheel",M SPORTLENKRAD,Y,Y,Y
32 30 7 848 267,steering,"Cover for steering wheel, rear",,Y,Y,Y
32 30 7 848 268,steering,"Cover for steering wheel, rear",PADDLES,Y,Y,Y
32 30 7 848 329,steering,"Connecting line, steering wheel",,Y,Y,Y
32 30 7 848 331,steering,"Connecting line, steering wheel",,Y,Y,Y
32 30 7 848 333,steering,Set of screws,,Y,Y,Y
32 30 7 848 335,steering,"Connecting line, steering wheel",,Y,Y,Y
32 30 7 848 337,steering,"Connecting line, steering wheel",,Y,Y,Y
32 30 7 848 338,steering,M sports steering wheel leather,,Y,Y,Y
32 30 7 848 339,steering,M sports steering wheel leather,,Y,Y,Y
32 33 6 787 451,steering,Vibration generator,ASE,,Y,Y
32 33 7 849 416,steering,Vibration generator,ASE,Y,Y,Y
